"","variety","winery","region_1","region_2","province","designation","country"
"4539","Red Blend","Clos Pons","Costers del Segre","","Catalonia","Jan Petit","Spain"
"4540","Pinot Noir","Coleccion Privada","","","Maule Valley","Gran Reserva","Chile"
"4541","Merlot","Cuyen","","","Central Valley","","Chile"
"4542","Rosé","Domaine Gueguen","Bourgogne","","Burgundy","Domaine Marie B.","France"
"4543","Red Blend","J. Bouchon","","","Maule Valley","Canto Sur","Chile"
"4544","Nebbiolo","La Spinetta","Barbaresco","","Piedmont","Vigneto Bordini","Italy"
"4545","Nebbiolo","Pietro Rinaldi","Barbaresco","","Piedmont","Santo Cristoforo","Italy"
"4546","Viognier","Bridgeview","Southern Oregon","Southern Oregon","Oregon","","US"
"4547","Cabernet Sauvignon","Vin Nostro","Alexander Valley","Sonoma","California","","US"
"4548","Cabernet Sauvignon","Kalbarri","South Eastern Australia","","Australia Other","Bin Select 513","Australia"
"4549","Sherry","Harveys","Jerez","","Andalucia","Fino Light","Spain"
"4550","Cabernet Sauvignon","Snake River","Idaho","","Idaho","Arena Valley Vineyard","US"
"4551","Red Blend","Celler La Bollidora","Terra Alta","","Catalonia","Plan B","Spain"
"4552","Sauvignon Blanc","Pacific Oasis","Santa Barbara County","Central Coast","California","","US"
"4553","Pinot Noir","Panthea","Anderson Valley","","California","Estate","US"
"4554","Moscato","LaStella","Okanagan Valley","","British Columbia","Moscato d'Osoyoos","Canada"
"4555","Gamay","Lucien Lardy","Morgon","","Beaujolais","Côte du Py","France"
"4556","Sparkling Blend","Barone Pizzini","Franciacorta","","Lombardy","Naturae","Italy"
"4557","Chardonnay","Jean Laurent","Champagne","","Champagne","Blanc de Blancs Réserve Brut","France"
"4558","Champagne Blend","Louis Roederer","Champagne","","Champagne","Brut Premier","France"
"4559","Pinot Noir","A.R. Lenoble ","Champagne","","Champagne","Premier Cru Blanc de Noirs Bisseuil Brut","France"
"4560","Durella","Corte Moschina","Lessini Durello","","Veneto","","Italy"
"4561","Pinot Noir","McEvoy Ranch","Marin County","North Coast","California","The Evening Standard","US"
"4562","Pinot Noir","Mercy","Arroyo Seco","Central Coast","California","Cedar Lane Vineyard","US"
"4563","Chardonnay","Metz Road","Monterey","Central Coast","California","Riverview Vineyard Estate Grown","US"
"4564","Sauvignon Blanc","Starborough","","","Marlborough","","New Zealand"
"4565","Sangiovese","Tenuta di Trecciano","Chianti Colli Senesi","","Tuscany","Terra Rossa Riserva","Italy"
"4566","Cabernet Sauvignon","Textbook","Napa Valley","Napa","California","Fin de Journée","US"
"4567","Sangiovese","Banfi","Chianti Classico","","Tuscany","Riserva","Italy"
"4568","Sangiovese","Bellini","Chianti Rufina","","Tuscany","Riserva","Italy"
"4569","Red Blend","Aia Vecchia","Toscana","","Tuscany","Lagone","Italy"
"4570","Cabernet Sauvignon","Atmosphere","Sonoma Valley","Sonoma","California","Bismark Mountain Vineyard","US"
"4571","Red Blend","Bodegas Mähler-Besse","Jumilla","","Levante","Taja Excelecia","Spain"
"4572","Red Blend","Cipriana","Bolgheri Superiore","","Tuscany","San Martino","Italy"
"4573","Red Blend","Eucaliptus","Bolgheri","","Tuscany","Clarice","Italy"
"4574","Cabernet Franc","Château de Minière","Bourgueil","","Loire Valley","Vieilles Vignes","France"
"4575","Bordeaux-style Red Blend","Château Fonguillon","Montagne-Saint-Émilion","","Bordeaux","","France"
"4576","Bordeaux-style White Blend","Château La Rame","Saint-Croix-du-Mont","","Bordeaux","","France"
"4577","Sauvignon Blanc","Pascal & Nicolas Reverdy","Sancerre","","Loire Valley","Les Coûtes","France"
"4578","White Blend","Chrysorroyiatissa","","","Cyprus","Ayios Andronicos","Cyprus"
"4579","Rosé","Frank Cornelissen","Etna","","Sicily & Sardinia","Susucaru 2 Rosato","Italy"
"4580","Sauvignon Blanc","Yali","","","Rapel Valley","Wetland Winemaker's Selection","Chile"
"4581","Malbec","Pasion de Tango","Mendoza","","Mendoza Province","Reserve","Argentina"
"4582","Chardonnay","Dutch Bill Creek","Sonoma Coast","Sonoma","California","Heintz Ranch","US"
"4583","Riesling","Heavenly Retreat","","","Recas","","Romania"
"4584","Merlot","Alpataco","Neuquén","","Other","Reserve","Argentina"
"4585","Traminer","Protopapas","","","Pageon","","Greece"
"4586","Pinot Grigio","San Giuseppe","Veneto","","Veneto","","Italy"
"4587","Pinot Noir","Zenaida Cellars","Paso Robles","Central Coast","California","","US"
"4588","Cabernet Sauvignon","Calama","","","Central Valley","","Chile"
"4589","Viognier","Pepperwood Grove","California","California Other","California","","US"
"4590","Sauvignon Blanc","Viña Casas del Bosque","","","Casablanca Valley","Reserve","Chile"
"4591","Chardonnay","La Palma","","","Cachapoal Valley","Estate Bottled","Chile"
"4592","Chardonnay","Guelbenzu","","","Colchagua Valley","Jardin","Chile"
"4593","Pinot Noir","MacMurray Ranch","Sonoma Coast","Sonoma","California","","US"
"4594","Pinot Grigio","Bartenura","Veneto","","Veneto","","Italy"
"4595","White Blend","Quinta da Aveleda","","","Vinho Verde","Casal Garcia","Portugal"
"4596","Syrah","Vino de Eyzaguirre","","","Colchagua Valley","San Francisco de Mostazal Reserva Especial","Chile"
"4597","Sparkling Blend","Domaine Michel Fonne","Crémant d'Alsace","","Alsace","","France"
"4598","Albariño","Freja","Chehalem Mountains","Willamette Valley","Oregon","","US"
"4599","Glera","Gino Fasoli","Prosecco","","Veneto","Tasi Brut","Italy"
"4600","Malvasia","Miklus","Collio","","Northeastern Italy","","Italy"
"4601","Pinot Noir","Nga Waka","","","Martinborough","Three Paddles","New Zealand"
"4602","Riesling","North 42 Degrees","Lake Erie North Shore","","Ontario","Sweet","Canada"
"4603","Sparkling Blend","Schlumberger Wein- und Sektkellerei","","","Niederösterreich","White Secco Méthode Traditionelle","Austria"
"4604","Cabernet Sauvignon","Shooting Star","Lake County","","California","","US"
"4605","Champagne Blend","Louis Chalvon","Champagne","","Champagne","Grande Réserve Brut","France"
"4606","Barbera","Wilderotter","Shenandoah Valley (CA)","Sierra Foothills","California","","US"
"4607","Pinot Noir","Yamhill Valley","McMinnville","Willamette Valley","Oregon","Estate","US"
"4608","Glera","Borgoluce","Valdobbiadene Prosecco Superiore","","Veneto","Brut","Italy"
"4609","Glera","Althéa","Valdobbiadene Prosecco Superiore","","Veneto","Brut","Italy"
"4610","Riesling","eco.love","","","South Island","","New Zealand"
"4611","Nero d'Avola","Tenuta di Serramarrocco","Sicilia","","Sicily & Sardinia","Baglio di Serramarrocco","Italy"
"4612","Tempranillo","Viña Bujanda","Rioja","","Northern Spain","Tinto","Spain"
"4613","Cabernet Sauvignon","Windsor Sonoma","Alexander Valley","Sonoma","California","","US"
"4614","Viognier","Smasne Cellars","Columbia Valley (WA)","Columbia Valley","Washington","","US"
"4615","Riesling","Château Tanunda","Barossa","","South Australia","Grand Barossa","Australia"
"4616","Nerello Mascalese","Di Giovanna","Sicilia","","Sicily & Sardinia","","Italy"
"4617","Chardonnay","Domaine Marc Jambon","Mâcon-Pierreclos","","Burgundy","Cuvée Fût de Chêne","France"
"4618","Pinot Noir","Hangtime","Arroyo Seco","Central Coast","California","Force Canyon Vineyard","US"
"4619","Tempranillo","J. Garcia Carrion","La Mancha","","Central Spain","Opera Prima","Spain"
"4620","Portuguese Sparkling","Murganheira","","","Vinho Espumante de Qualidade","Bruto","Portugal"
"4621","Moscato","Allure","California","California Other","California","","US"
"4622","Cabernet Sauvignon","Adams Bench","Columbia Valley (WA)","Columbia Valley","Washington","the V","US"
"4623","Dolcetto","Animale","Columbia Valley (WA)","Columbia Valley","Washington","","US"
"4624","Assyrtiko","Argyros","","","Santorini","","Greece"
"4625","Xinomavro","Thymiopoulos","","","Naoussa","Young Vines","Greece"
"4626","Chardonnay","Jean-Claude Debeaune","Pouilly-Fuissé","","Burgundy","","France"
"4627","Tempranillo","Mano A Mano","Vino de la Tierra de Castilla","","Central Spain","","Spain"
"4628","Pinot Noir","Ousterhout","Russian River Valley","Sonoma","California","800 Vines Vineyard Rosé of","US"
"4629","Chardonnay","Domaine La Soufrandise","Pouilly-Fuissé","","Burgundy","Vieilles Vignes","France"
"4630","Tinto del Pais","Finca La Mata","Ribera del Duero","","Northern Spain","","Spain"
"4631","Sangiovese","Amador Foothill Winery","Shenandoah Valley (CA)","Sierra Foothills","California","Estate","US"
"4632","Bordeaux-style White Blend","Château Toumilon","Graves","","Bordeaux","","France"
"4633","Cabernet Sauvignon","Eventide Cellar","","","Wellington","","South Africa"
"4634","Meritage","Bonneau","Napa Valley","Napa","California","Epos","US"
"4635","Cabernet Sauvignon","Hunter Ashby","Napa Valley","Napa","California","","US"
"4636","Cabernet Sauvignon","Nicholls","Napa Valley","Napa","California","","US"
"4637","Red Blend","Pago de Larrainzar","Navarra","","Northern Spain","","Spain"
"4638","Bordeaux-style Red Blend","L'Egrégoire","Bordeaux","","Bordeaux","","France"
"4639","Sauvignon Blanc","Old Well House","","","Western Cape","","South Africa"
"4640","Tempranillo Blend","Bodegas Franco-Españolas","Rioja","","Northern Spain","Rioja Bordón Crianza","Spain"
"4641","Tempranillo","Bodegas Leza García","Rioja","","Northern Spain","Arderius Reserva","Spain"
"4642","Riesling","Cerulean","Columbia Gorge (WA)","Washington Other","Washington","Underwood Mountain","US"
"4643","Merlot","Château Abelyce","Saint-Émilion","","Bordeaux","","France"
"4644","Bordeaux-style Red Blend","Château Bellevue Peycharneau","Sainte-Foy Bordeaux","","Bordeaux","","France"
"4645","Merlot","Château le Prieuré","Saint-Émilion","","Bordeaux","Délice du Prieuré","France"
"4646","Bordeaux-style Red Blend","Château Moncets","Lalande de Pomerol","","Bordeaux","","France"
"4647","Bordeaux-style Red Blend","Château Moulin de Blanchon","Haut-Médoc","","Bordeaux","","France"
"4648","Bordeaux-style White Blend","Clarendelle","Bordeaux Blanc","","Bordeaux","","France"
"4649","G-S-M","DENO","Paso Robles","Central Coast","California","Paso Rouge Alto Pomar Vineyard Estate","US"
"4650","Gamay","Domaine de la Bonne Tonne","Morgon","","Beaujolais","Côte de Py","France"
"4651","Pinot Noir","Winc","Sonoma Coast","Sonoma","California","Porter and Plot","US"
"4652","Pinot Gris","Laurelwood","Willamette Valley","Willamette Valley","Oregon","","US"
"4653","Bordeaux-style Red Blend","Lion des Aubrots","Côtes de Bourg","","Bordeaux","","France"
"4654","Nebbiolo","Mamete Prevostini","Valtellina Superiore","","Lombardy","Sassella","Italy"
"4655","Pinot Noir","Jalits","","","Burgenland","","Austria"
"4656","Pinot Noir","Levendi","Napa Valley","Napa","California","Charisma","US"
"4657","Cabernet Sauvignon","Luna","Napa Valley","Napa","California","","US"
"4658","Cabernet Sauvignon","Michael Mondavi Family Estate","Napa Valley","Napa","California","Animo","US"
"4659","Chardonnay","Morell-Peña","Columbia Valley (WA)","Columbia Valley","Washington","Amylla Loren","US"
"4660","Chardonnay","Ramey","Russian River Valley","Sonoma","California","","US"
"4661","Pinot Noir","Ron Rubin","Green Valley","Sonoma","California","Gunsalus Vineyard","US"
"4662","Sauvignon Blanc","Saracina","Mendocino County","","California","","US"
"4663","Syrah","Sequel","Columbia Valley (WA)","Columbia Valley","Washington","","US"
"4664","Red Blend","Toccata","Santa Barbara County","Central Coast","California","Classico","US"
"4665","Marsanne","Ferraton Pere et Fils","Hermitage","","Rhône Valley","Les Miaux","France"
"4666","Rhône-style Red Blend","Mas Champart","Saint-Chinian","","Languedoc-Roussillon","Causse du Bousquet","France"
"4667","Rhône-style Red Blend","Jada Vineyard & Winery","Paso Robles","Central Coast","California","WCS Jack John","US"
"4668","Bordeaux-style Red Blend","Laughing Stock","Okanagan Valley","","British Columbia","LFNG Blind Trust","Canada"
"4669","Nebbiolo","Manzone Fratelli","Barolo","","Piedmont","Vigna Fraschin","Italy"
"4670","Nebbiolo","Ca' Viola","Barolo","","Piedmont","Sottocastello di Novello","Italy"
"4671","Viognier","Darioush","Napa Valley","Napa","California","","US"
"4672","Gewürztraminer","Gordon Estate","Columbia Valley (WA)","Columbia Valley","Washington","Estate Grown Late Harvest","US"
"4673","Nebbiolo","Prinsi","Barbaresco","","Piedmont","Fausoni Riserva","Italy"
"4674","Nebbiolo","Mascarello Giuseppe e Figlio","Barolo","","Piedmont","Villero","Italy"
"4675","Grüner Veltliner","Alzinger","","","Wachau","Steinertal Smaragd","Austria"
"4676","Syrah","Barden","Santa Barbara County","Central Coast","California","","US"
"4677","Syrah","J & J","Walla Walla Valley (WA)","Columbia Valley","Washington","Les Collines Vineyard","US"
"4678","Red Blend","Vista d'Oro","Okanagan Valley","","British Columbia","D'Oro","Canada"
"4679","Sangiovese Grosso","Col d'Orcia","Rosso di Montalcino","","Tuscany","","Italy"
"4680","Merlot","Eliseo Silva","Columbia Valley (WA)","Columbia Valley","Washington","","US"
"4681","Shiraz-Cabernet Sauvignon","Flinders Run","Southern Flinders Ranges","","South Australia","Little Flinders","Australia"
"4682","Syrah","Glen Fiona","Columbia Valley (WA)","Columbia Valley","Washington","Basket Press","US"
"4683","Cabernet Sauvignon","Guarachi Family","Napa Valley","Napa","California","","US"
"4684","Verdelho","Bleasdale","Langhorne Creek","","South Australia","Potts' Catch","Australia"
"4685","Cabernet Sauvignon","Magnificent Wine Company","Columbia Valley (WA)","Columbia Valley","Washington","Steak House","US"
"4686","Shiraz","Grant Burge","Barossa Valley","","South Australia","Miamba","Australia"
"4687","Tempranillo","Coto de Imaz","Rioja","","Northern Spain","Gran Reserva","Spain"
"4688","Cabernet Sauvignon","Pontin del Roza","Yakima Valley","Columbia Valley","Washington","","US"
"4689","Pinot Noir","Stefano Lubiana","Tasmania","","Tasmania","","Australia"
"4690","Shiraz","Hollick","Coonawarra","","South Australia","Wilgha","Australia"
"4691","White Blend","Huguet de Can Feixes","Catalonia","","Catalonia","Can Feixes Blanc Selecciò","Spain"
"4692","Syrah","Sariah Cellars","Red Mountain","Columbia Valley","Washington","","US"
"4693","Pinot Noir","Rutz","Russian River Valley","Sonoma","California","Martinelli Vineyard","US"
"4694","Zinfandel","Mayo","Russian River Valley","Sonoma","California","Ricci Vineyard Unfiltered Zinfandel Port","US"
"4695","Tempranillo Blend","Mayoral","Jumilla","","Levante","Cosecha","Spain"
"4696","Albariño","Condes de Albarei","Rías Baixas","","Galicia","","Spain"
"4697","Cabernet Sauvignon","Gallo of Sonoma","Dry Creek Valley","Sonoma","California","Frei Vineyard","US"
"4698","Sangiovese","Gargiulo","Oakville","Napa","California","Rosato di Sangiovese","US"
"4699","Grenache","Oliverhill","McLaren Vale","","South Australia","Bradey Block","Australia"
"4700","Rhône-style Red Blend","II Moons","Paso Robles","Central Coast","California","Ardor","US"
"4701","Bordeaux-style Red Blend","Chimney Rock","Stags Leap District","Napa","California","Elevage Estate Grown","US"
"4702","Champagne Blend","Joseph Perrier","Champagne","","Champagne","Cuvée Josephine Brut","France"
"4703","Chardonnay","Domaine Drouhin Oregon","Dundee Hills","Willamette Valley","Oregon","Édition Limitée","US"
"4704","Sparkling Blend","Maso Martis","Trento","","Northeastern Italy","Dosaggiozero Riserva","Italy"
"4705","Grüner Veltliner","Rosenhof","","","Burgenland","Orion Eiswein","Austria"
"4706","Champagne Blend","Taittinger","Champagne","","Champagne","Comtes de Champagne Brut Rosé","France"
"4707","Red Blend","Mvemve Raats","","","Stellenbosch","MR de Compostella","South Africa"
"4708","Chardonnay","Pol Roger","Champagne","","Champagne","Blanc de Blancs Brut","France"
"4709","Chardonnay","Ch.igai Takaha","Sta. Rita Hills","Central Coast","California","Samurai","US"
"4710","Bordeaux-style Red Blend","Petite Sirène","Bordeaux","","Bordeaux","","France"
"4711","Pinot Noir","Louis Chavy","Bourgogne","","Burgundy","","France"
"4712","White Blend","Tinazzi","Lugana","","Lombardy","Ca' de' Rocchi","Italy"
"4713","Chardonnay","Cru","Monterey County","Central Coast","California","Vineyard Montage","US"
"4714","White Blend","Domaine de Pajot","Côtes de Gascogne","","Southwest France","Les Quatre Cépages","France"
"4715","Red Blend","Guyomar","Paso Robles","Central Coast","California","Oblate","US"
"4716","Bordeaux-style Red Blend","Château la Petite Roque","Blaye Côtes de Bordeaux","","Bordeaux","","France"
"4717","Bordeaux-style Red Blend","Château le Castellot","Montravel","","Southwest France","L'Excellence","France"
"4718","Syrah","Due Cani","Spring Mountain District","Napa","California","Bella's Collection","US"
"4719","Bordeaux-style Red Blend","Fleury","Bordeaux","","Bordeaux","Ilixens","France"
"4720","Pinot Noir","Grochau","Eola-Amity Hills","Willamette Valley","Oregon","Zenith Vineyard","US"
"4721","Cabernet Sauvignon","Gunsight Rock","Paso Robles","Central Coast","California","","US"
